gene,mean_vst,min_vst,max_vst,min_percentile,mean_percentile,expression_category
Amblyomma-americanum_evm.model.contig-122337-1.3,5.801534191895274,4.326608333374168,7.140980355876004,43,72,always
Amblyomma-americanum_evm.model.contig-122381-1.2,6.735806313037367,4.868747537606563,7.804780735618238,55,83,always
Amblyomma-americanum_evm.model.contig-122381-1.3,3.2219895052282226,2.182471682318694,3.9377657364468437,7,20,always
Amblyomma-americanum_evm.model.contig-122419-1.1,3.8459385058492392,2.614640941782172,4.722984403097751,11,33,always
Amblyomma-americanum_evm.model.contig-122429-1.1,4.496486585982641,2.663361863027006,6.220297393730418,12,47,always
Amblyomma-americanum_evm.model.contig-122505-1.2,2.3888184981522613,0.3512026446629953,5.0140103024993685,0,9,always
Amblyomma-americanum_evm.model.contig-122987-1.1,5.273823054283746,3.971275496377033,7.259534451879534,36,63,always
Amblyomma-americanum_evm.model.contig-122992-1.1,6.495068761077392,5.583507307574244,7.299885336734487,68,81,always
Amblyomma-americanum_evm.model.contig-123031-1.1,10.037486884672784,7.868266273387933,11.977785625076985,92,98,always
Amblyomma-americanum_evm.model.contig-123073-1.1,5.295246694189964,2.364821146549016,6.388476455083259,9,63,always
Amblyomma-americanum_evm.model.contig-123168-1.1,5.169850521245793,4.139360895133136,6.3878788050712085,39,61,always
Amblyomma-americanum_evm.model.contig-123176-1.1,5.571944109914106,3.2554927672864675,6.378700373671473,21,68,always
Amblyomma-americanum_evm.model.contig-123200-1.5,5.855170405704583,3.2138962779477183,7.044723456885032,20,72,always
Amblyomma-americanum_evm.model.contig-123257-1.3,4.4251546925485545,3.393251645779147,5.425894130368347,24,45,always
Amblyomma-americanum_evm.model.contig-123346-1.2,4.593632600595837,3.109116114205562,5.49379796946101,18,49,always
Amblyomma-americanum_evm.model.contig-123463-1.1,2.8985057623817583,1.7424802440774174,5.0344349762848974,4,15,always
Amblyomma-americanum_evm.model.contig-123773-1.1,7.217303923972995,5.015745619069019,9.198693135677807,58,88,always
Amblyomma-americanum_evm.model.contig-12381-1.1,9.85374953435617,9.290688156107436,10.64929029740774,97,98,always
Amblyomma-americanum_evm.model.contig-123851-1.1,3.3059557379731612,2.322493168878355,4.564935324603675,8,22,always
Amblyomma-americanum_evm.model.contig-123930-1.1,4.883313184645096,3.8365907384638103,6.104595975164438,33,55,always
Amblyomma-americanum_evm.model.contig-123949-1.1,4.476831053058907,3.236373115507561,5.446610068479022,20,47,always
Amblyomma-americanum_evm.model.contig-124051-1.2,3.9992543356935237,2.5398208855318183,4.744019193064221,11,36,always
